frequency,depth,salinity,temp,sediment,count_pixels,year,freq_file,depth_file
4,6.0 - 6.5,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,45,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,32.5 - 33.0,28.5 - 29.0,out of range,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,206,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,182,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,1709,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,32.5 - 33.0,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,33.0 - 33.5,27.5 - 28.0,no data avail,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.0 - 6.5,33.0 - 33.5,28.5 - 29.0,out of range,12,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,164,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,464,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,28.5 - 29.0,out of range,6,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,2222,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,242,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,10132,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,32.5 - 33.0,no data avail,out of range,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,33.0 - 33.5,27.5 - 28.0,no data avail,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,33.0 - 33.5,28.5 - 29.0,out of range,36,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,33.0 - 33.5,29.0 - 29.5,out of range,5,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,6.5 - 7.0,33.0 - 33.5,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,393,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,2,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,888,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,32.5 - 33.0,28.5 - 29.0,out of range,5,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,4145,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,278,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,16272,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,27.5 - 28.0,no data avail,5,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,13,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,24,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,28.5 - 29.0,5.0 - 10.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,28.5 - 29.0,out of range,43,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,29.0 - 29.5,10.0 - 15.0,8,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,29.0 - 29.5,out of range,6,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,33.0 - 33.5,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.0 - 7.5,no data avail,no data avail,out of range,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,473,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,672,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,32.5 - 33.0,28.5 - 29.0,out of range,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,5021,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,372,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,15815,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,33.0 - 33.5,27.5 - 28.0,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,73,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,60,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,33.0 - 33.5,28.5 - 29.0,out of range,49,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,33.0 - 33.5,29.0 - 29.5,10.0 - 15.0,23,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,33.0 - 33.5,29.0 - 29.5,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,33.0 - 33.5,29.0 - 29.5,out of range,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,7.5 - 8.0,no data avail,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,no data avail,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,no data avail,33.0 - 33.5,28.5 - 29.0,5.0 - 10.0,3,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,no data avail,33.0 - 33.5,28.5 - 29.0,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,no data avail,33.0 - 33.5,29.0 - 29.5,0.0 - 5.0,650,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,no data avail,33.0 - 33.5,29.0 - 29.5,no data avail,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,28.5 - 29.0,0.0 - 5.0,426,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,28.5 - 29.0,10.0 - 15.0,2361,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,28.5 - 29.0,15.0 - 20.0,270,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,28.5 - 29.0,5.0 - 10.0,10064,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,28.5 - 29.0,out of range,35,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,29.0 - 29.5,0.0 - 5.0,1106425,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,29.0 - 29.5,10.0 - 15.0,2261,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,29.0 - 29.5,5.0 - 10.0,149177,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,32.5 - 33.0,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,27.5 - 28.0,no data avail,5,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,28.5 - 29.0,0.0 - 5.0,171,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,28.5 - 29.0,10.0 - 15.0,7222,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,28.5 - 29.0,15.0 - 20.0,5617,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,28.5 - 29.0,5.0 - 10.0,9379,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,28.5 - 29.0,no data avail,1192,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,28.5 - 29.0,out of range,3407,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,29.0 - 29.5,0.0 - 5.0,405783,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,29.0 - 29.5,10.0 - 15.0,5756,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,29.0 - 29.5,15.0 - 20.0,908,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,29.0 - 29.5,5.0 - 10.0,34588,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,29.0 - 29.5,no data avail,761,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,29.0 - 29.5,out of range,1762,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,33.0 - 33.5,no data avail,out of range,1,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,no data avail,no data avail,no data avail,9,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
4,out of range,no data avail,no data avail,out of range,4,2025,2025_frequency_q1_q2_q3_q4.tif,Depth_35m_2025.tif
